Draw Date,Mega Ball,Multiplier,Num1,Num2,Num3,Num4,Num5
2022-08-26,23,2.0,6,27,30,38,64
2022-08-30,17,3.0,2,38,55,57,65
2022-09-02,20,2.0,39,40,52,60,67
2022-09-06,2,4.0,6,17,46,59,68
2022-09-09,22,2.0,16,21,54,55,69
2022-09-13,21,4.0,14,25,38,59,64
2022-09-16,12,4.0,15,30,35,38,66
2022-09-20,10,5.0,9,21,28,30,52
2022-09-23,22,4.0,5,50,53,58,64
2022-09-27,9,3.0,8,14,24,43,51
2022-09-30,6,4.0,16,26,37,40,51
2022-10-04,25,2.0,15,18,25,33,38
2022-10-07,21,2.0,6,11,29,36,55
2022-10-11,1,3.0,3,7,11,13,38
2022-10-14,19,2.0,9,22,26,41,44
2022-10-18,23,3.0,1,15,20,44,67
2022-10-21,22,2.0,34,36,43,45,68
2022-10-25,21,3.0,21,30,35,45,66
2022-10-28,7,2.0,4,18,31,53,69
2022-11-01,25,3.0,5,9,15,16,17
2022-11-04,19,2.0,2,20,47,55,59
2022-11-08,23,4.0,5,13,29,38,59
2022-11-11,22,3.0,1,5,17,37,70
2022-11-15,18,2.0,6,19,28,46,61
2022-11-18,9,4.0,2,14,16,38,66
2022-11-22,2,3.0,13,23,24,25,43
2022-11-25,18,2.0,29,31,46,54,67
2022-11-29,6,4.0,20,23,37,46,52
2022-12-02,16,3.0,1,21,36,46,52
2022-12-06,13,3.0,15,16,19,28,47
2022-12-09,19,4.0,8,19,53,61,69
2022-12-13,6,2.0,14,22,48,58,68
2022-12-16,11,3.0,8,35,40,53,56
2022-12-20,17,4.0,3,4,33,36,52
2022-12-23,8,4.0,15,21,32,38,62
2022-12-27,11,2.0,9,13,36,59,61
2022-12-30,7,3.0,1,3,6,44,51
2023-01-03,18,4.0,25,29,33,41,44
2023-01-06,13,3.0,3,20,46,59,63
2023-01-10,9,3.0,7,13,14,15,18
2023-01-13,14,2.0,30,43,45,46,61
2023-01-17,18,3.0,2,12,18,24,39
2023-01-20,17,4.0,20,29,31,64,66
2023-01-24,20,4.0,33,41,47,50,62
2023-01-27,22,4.0,4,43,46,47,61
2023-01-31,13,4.0,7,9,18,29,39
2023-02-03,17,2.0,1,4,50,54,59
2023-02-07,4,2.0,9,15,46,55,57
2023-02-10,19,3.0,20,29,30,52,58
2023-02-14,1,3.0,23,24,35,40,43
2023-02-17,13,3.0,2,33,38,57,70
2023-02-21,24,2.0,2,15,30,36,63
2023-02-24,7,4.0,2,22,49,65,67
2023-02-28,13,2.0,14,16,40,52,59
2023-03-03,11,4.0,8,25,36,39,67
2023-03-07,21,4.0,15,22,25,28,69
2023-03-10,5,2.0,9,20,59,60,63
2023-03-14,2,3.0,1,7,23,38,55
2023-03-17,25,3.0,26,28,29,39,49
2023-03-21,11,2.0,1,21,25,27,40
2023-03-24,15,3.0,14,17,33,42,66
2023-03-28,24,4.0,2,3,18,32,68
2023-03-31,23,4.0,16,26,27,42,61
2023-04-04,4,3.0,1,37,45,62,64
2023-04-07,21,2.0,12,32,49,51,66
2023-04-11,24,3.0,31,35,53,54,55
2023-04-14,22,2.0,23,27,41,48,51
2023-04-18,4,2.0,7,9,15,19,25
2023-04-21,9,3.0,3,21,29,46,63
2023-04-25,12,2.0,8,29,46,47,48
2023-04-28,20,3.0,18,38,53,62,64
2023-05-02,9,2.0,3,15,16,32,41
2023-05-05,11,3.0,16,18,28,42,43
2023-05-09,19,3.0,4,37,46,48,51
2023-05-12,15,3.0,1,2,23,40,45
2023-05-16,17,3.0,15,34,36,69,70
2023-05-19,14,2.0,5,11,41,44,55
2023-05-23,19,2.0,3,10,22,65,66
2023-05-26,1,3.0,12,20,37,41,64
2023-05-30,21,2.0,13,16,40,64,68
2023-06-02,25,2.0,3,16,19,36,60
2023-06-06,4,2.0,6,12,23,29,57
2023-06-09,13,3.0,3,19,53,60,68
2023-06-13,4,4.0,8,10,19,44,47
2023-06-16,19,3.0,4,24,34,45,57
2023-06-20,21,4.0,6,37,39,45,46
2023-06-23,14,5.0,13,62,65,67,69
2023-06-27,12,4.0,8,34,35,41,52
2023-06-30,9,3.0,13,22,47,51,55
2023-07-04,12,3.0,21,33,54,61,67
2023-07-07,3,3.0,8,10,17,55,66
2023-07-11,5,2.0,10,17,33,51,64
2023-07-14,15,2.0,10,24,48,51,66
2023-07-18,18,4.0,19,22,31,37,54
2023-07-21,25,2.0,29,40,47,50,57
2023-07-25,25,4.0,3,5,6,44,61
2023-07-28,18,5.0,5,10,28,52,63
2023-08-01,12,4.0,8,24,30,45,61
