Draw Date,Mega Ball,Multiplier,Num1,Num2,Num3,Num4,Num5
2019-08-13,5,3.0,7,27,31,34,51
2019-08-16,14,2.0,4,14,24,26,46
2019-08-20,4,3.0,8,14,25,51,63
2019-08-23,21,2.0,11,15,37,54,68
2019-08-27,6,2.0,8,12,23,39,43
2019-08-30,10,4.0,3,9,11,34,39
2019-09-03,5,2.0,13,20,27,61,62
2019-09-06,10,4.0,4,11,13,19,31
2019-09-10,24,2.0,34,47,48,50,55
2019-09-13,5,2.0,6,16,37,59,62
2019-09-17,1,4.0,12,15,30,50,65
2019-09-20,22,2.0,23,24,42,48,53
2019-09-24,9,4.0,6,14,24,42,46
2019-09-27,20,3.0,12,20,31,43,45
2019-10-01,3,2.0,10,17,39,42,59
2019-10-04,17,2.0,11,38,44,48,70
2019-10-08,23,3.0,5,8,10,17,48
2019-10-11,8,3.0,14,22,30,37,60
2019-10-15,2,2.0,4,12,14,35,70
2019-10-18,20,3.0,18,58,60,65,67
2019-10-22,10,4.0,5,11,14,23,25
2019-10-25,6,3.0,16,24,25,52,60
2019-10-29,22,2.0,4,9,17,27,39
2019-11-01,22,2.0,9,20,36,41,54
2019-11-05,19,3.0,2,9,24,49,54
2019-11-08,14,3.0,3,4,10,39,58
2019-11-12,24,2.0,19,30,44,56,65
2019-11-15,20,2.0,12,19,34,35,68
2019-11-19,22,3.0,22,43,44,47,66
2019-11-22,24,4.0,7,12,17,49,53
2019-11-26,13,2.0,8,27,29,38,43
2019-11-29,9,2.0,6,8,31,50,65
2019-12-03,19,2.0,23,43,60,63,69
2019-12-06,20,5.0,20,31,40,46,61
2019-12-10,25,2.0,18,31,46,54,61
2019-12-13,22,3.0,17,21,29,39,56
2019-12-17,16,2.0,22,30,53,55,56
2019-12-20,16,3.0,3,20,23,35,60
2019-12-24,11,2.0,27,37,48,63,66
2019-12-27,24,4.0,17,34,40,63,64
2019-12-31,11,3.0,30,44,49,53,56
2020-01-03,16,2.0,37,41,42,53,63
2020-01-07,21,4.0,25,40,41,52,56
2020-01-10,2,2.0,17,27,49,51,66
2020-01-14,11,2.0,9,11,13,31,47
2020-01-17,9,3.0,3,25,30,54,70
2020-01-21,8,3.0,16,18,29,31,37
2020-01-24,24,4.0,3,4,18,23,38
2020-01-28,21,3.0,17,36,47,51,62
2020-01-31,19,2.0,28,31,33,57,62
2020-02-04,10,2.0,32,48,50,51,64
2020-02-07,4,3.0,9,14,27,36,52
2020-02-11,6,2.0,4,6,32,52,64
2020-02-14,18,5.0,10,32,48,54,55
2020-02-18,4,3.0,6,12,39,61,70
2020-02-21,6,4.0,4,7,13,16,60
2020-02-25,15,2.0,2,9,43,49,63
2020-02-28,17,2.0,2,3,14,41,64
2020-03-03,2,2.0,8,12,33,56,64
2020-03-06,4,4.0,15,48,56,58,70
2020-03-10,12,5.0,6,17,48,54,69
2020-03-13,22,4.0,7,22,37,43,44
2020-03-17,25,3.0,20,27,28,58,59
2020-03-20,5,4.0,34,35,41,45,54
2020-03-24,14,2.0,2,8,16,18,31
2020-03-27,1,4.0,3,25,28,50,60
2020-03-31,2,4.0,8,17,51,57,70
2020-04-03,17,4.0,24,38,44,57,58
2020-04-07,20,2.0,25,33,43,51,68
2020-04-10,13,2.0,2,11,21,57,60
2020-04-14,7,4.0,29,47,65,69,70
2020-04-17,14,4.0,13,35,39,46,55
2020-04-21,17,2.0,13,15,24,67,70
2020-04-24,18,2.0,1,27,32,60,67
2020-04-28,17,3.0,13,19,53,54,63
2020-05-01,14,2.0,28,30,31,35,66
2020-05-05,14,2.0,7,13,17,21,45
2020-05-08,4,2.0,5,20,22,61,70
2020-05-12,5,5.0,7,16,27,44,52
2020-05-15,25,3.0,11,17,32,33,46
2020-05-19,9,2.0,8,19,25,36,66
2020-05-22,18,4.0,8,10,20,44,46
2020-05-26,4,3.0,34,52,58,59,62
2020-05-29,3,2.0,10,13,32,41,51
2020-06-02,8,3.0,9,20,23,26,29
2020-06-05,22,3.0,32,35,37,47,55
2020-06-09,22,2.0,1,5,9,10,23
2020-06-12,2,3.0,9,14,57,67,70
2020-06-16,6,3.0,21,23,33,35,42
2020-06-19,7,2.0,11,34,36,52,66
2020-06-23,15,3.0,6,20,37,40,48
2020-06-26,6,2.0,19,33,37,56,57
2020-06-30,11,2.0,9,16,29,37,53
2020-07-03,24,2.0,20,40,44,45,50
2020-07-07,18,3.0,16,20,25,30,43
2020-07-10,22,5.0,10,15,20,49,53
2020-07-14,22,4.0,6,26,55,56,64
2020-07-17,21,3.0,12,13,21,46,57
2020-07-21,15,3.0,14,25,26,41,43
2020-07-24,17,3.0,8,33,39,54,58
2020-07-28,19,4.0,17,20,27,31,34
2020-07-31,23,2.0,12,35,46,48,69
2020-08-04,20,3.0,2,22,30,42,62
2020-08-07,3,2.0,4,44,53,64,70
